ID,Category,Section,Status,Question,Decision,Rationale
1,Topology,§8.1,DECIDED,"Where does correction-context fetching happen?","Each worker (SLM, LLM) calls MCP directly for get_correction_history, get_metadata_schemas, get_org_pii_patterns. The router does not pre-fetch and does not proxy.","Workers are already MCP clients; router stays slim and stateless; per-worker tool selection; cache locality near the consumer."
2,Topology,§8.2,DECIDED,"Where is BERT served?","Hybrid: gls-bert-trainer (Python, HuggingFace transformers) trains and exports to ONNX; gls-bert-inference (JVM, DJL + ONNX Runtime) serves. ONNX is the contract between them.","Training wins from Python (HuggingFace, distillation, ONNX export); serving wins from JVM (homogeneous deploy, observability, IAM, lower memory than Python+CUDA); avoids Python drift in the serving fleet."
3,Audit,§7.8 / §10.6,DECIDED,"What backend for Tier 1 (compliance) audit events?","External WORM store — S3 Object Lock + Athena, or a managed audit service. Not in-Mongo with role-based deny.","Infrastructure-enforced immutability is a stronger compliance claim than process-enforced. Trade-off: extra dependency and a separate query surface."
4,Audit,§7.8 / §10.7,DECIDED,"Per-resource or single global audit hash chain?","Per-resource chain (per-document, per-block, per-user).","Global chain serialises every audit write through one writer for a guarantee auditors don't actually ask for. Per-resource answers the real question: 'is this document's history intact and complete?'"
5,Audit,§7.8 / §10.8,DECIDED,"Where are failed classifications recorded — Tier 1, Tier 2, or both?","Both tiers, with different event types. CLASSIFICATION_FAILED (Tier 1) for the final outcome after retries exhausted; CLASSIFICATION_ATTEMPT_FAILED (Tier 2) per attempt.","Compliance wants the outcome the document ended up with; operations wants every attempt."
6,Audit,§7.8 / §10.9,DECIDED,"How do audit events handle right-to-erasure on append-only Tier 1?","Envelope schema marks each details field as metadata (always retained) or content (subject to erasure). Tier 1 stores hashes of content, never raw text.","Right-to-erasure scrubs content fields without breaking the chain; metadata required for compliance reasoning stays intact."
7,Audit,§7.8 / §10.10,DECIDED,"How to record reclassification supersession?","Every Tier 1 reclassification event carries supersedes / supersededBy links; queries reconstruct as-of-date views by walking the chain.","Per-resource chaining (Q4) is the enabler; auditors get the as-of-date view they actually ask for."
8,Audit,§7.8 / §10.11,DECIDED,"Are MCP tool calls auditable?","Yes, at Tier 2 — MCP_TOOL_CALLED event with tool, paramsHash, responseHash, latencyMs.","Compliance question: 'what training/context data did the model see for this decision?' must be answerable."
9,Cost / FinOps,§10.2,OPEN,"At what point does the router refuse to escalate to LLM and route to human review instead?","Open — org-wide cap, per top-level category, or per business unit?",""
10,Reliability,§10.3,OPEN,"How to calibrate confidence across BERT, SLM, and LLM (different scales)?","Open — calibration layer or per-tier thresholds (currently latter).",""
